	Anopheles_marshallii_group	Anopheles_moucheti_group	Myzomyia_sp1	Anopheles_gabonensis	Anopheles_funestus	Anopheles_rhodesiensis	Anopheles_minimus_A	Anopheles_culicifacies	Anopheles_aconitus	Anopheles_maculatus_group	Anopheles_maculipalpis	Anopheles_annularis	Anopheles_jamesii	Anopheles_stephensi	Anopheles_gambiae_complex	Anopheles_christyi	Anopheles_sundaicus_complex	Anopheles_vagus	Anopheles_dirus_complex	Anopheles_punctulatus_group	Anopheles_tessellatus	Anopheles_coustani_complex	Anopheles_hyrcanus_gp_sp1	Anopheles_sinensis_group	Anopheles_barbirostris	Anopheles_atroparvus	Anopheles_implexus	Anopheles_nili_group	Anopheles_vinckei	Anopheles_dureni	Anopheles_aquasalis	Anopheles_oryzalimnetes	Anopheles_darlingi	Anopheles_albimanus	Kerteszia_subgenus
Adem-32	0.9298220143855574	0.025898078529657483	0.015098722415795587	0.0	0.01132404181184669	0.0	0.0	0.0	0.0	0.0	0.0	0.008928571428571428	0.008928571428571428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abro-33	0.9067386587993304	0.024622960911049558	0.016665540616625004	0.0	0.012499155462468754	0.0110803324099723	0.0055401662049861505	0.0	0.0	0.0055401662049861505	0.0	0.010734072022160666	0.006578947368421054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ahan-615	0.9070658506982288	0.027377799845525762	0.01902434987607076	0.00926845415425356	0.008961658633468162	0.007944389275074478	0.003972194637537239	0.0	0.0	0.003972194637537239	0.0	0.007696127110228402	0.0047169811320754715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ahan-6-1	0.9069487111520996	0.034161686793985145	0.01708967022765678	0.008325899494498959	0.008050303518200214	0.007136485280999108	0.003568242640499554	0.0	0.0	0.003568242640499554	0.0	0.006913470115967887	0.004237288135593221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abro-22	0.9114511928705464	0.0325087019491149	0.0162627507005121	0.007923033389926431	0.00766077270280343	0.006791171477079797	0.0033955857385398985	0.0	0.0	0.0033955857385398985	0.0	0.006578947368421053	0.00403225806451613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adem-34	0.9062031759422964	0.033891884037341495	0.01738431971434052	0.008469449485783426	0.008189101854720908	0.007259528130671506	0.003629764065335753	0.0	0.0	0.003629764065335753	0.0	0.007032667876588023	0.004310344827586208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abro-30	0.9069487111520996	0.034161686793985145	0.01708967022765678	0.008325899494498959	0.008050303518200214	0.007136485280999108	0.003568242640499554	0.0	0.0	0.003568242640499554	0.0	0.006913470115967887	0.004237288135593221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abro-21	0.9064293525140766	0.034530771372876634	0.02013162988772745	0.0	0.015098722415795587	0.0	0.0	0.0	0.0	0.0	0.0	0.011904761904761904	0.011904761904761904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adem-19	0.8908099738399317	0.0319792145782684	0.02240645652070556	0.010916179337231971	0.01055484239052917	0.009356725146198829	0.004678362573099414	0.0	0.0	0.004678362573099414	0.0	0.00906432748538012	0.005555555555555557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amar-3-1	0.8497381408703831	0.061888022752960827	0.010455827067669171	0.008771929824561405	0.011748120300751879	0.0075187969924812035	0.01268796992481203	0.02168367346938776	0.0	0.003759398496240601	0.0	0.007283834586466166	0.004464285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
