	Anopheles_marshallii_complex	Anopheles_marshallii_cp_sp1	Anopheles_theileri	Anopheles_moucheti	Anopheles_jebudensis	Myzomyia_sp1	Anopheles_gabonensis	Anopheles_funestus	Anopheles_rhodesiensis	Anopheles_minimus_A	Anopheles_culicifacies	Anopheles_aconitus	Anopheles_rampae	Anopheles_maculatus_A	Anopheles_maculatus_B	Anopheles_maculipalpis	Anopheles_annularis	Anopheles_jamesii	Anopheles_stephensi	Anopheles_gambiae_coluzzii	Anopheles_arabiensis	Anopheles_gambiae_cp_sp1	Anopheles_quadriannulatus	Anopheles_melas	Anopheles_merus	Anopheles_christyi	Anopheles_sundaicus_complex	Anopheles_vagus	Anopheles_dirus_A	Anopheles_balabacensis	Anopheles_cracens	Anopheles_koliensis	Anopheles_farauti	Anopheles_punctulatus	Anopheles_tessellatus	Anopheles_coustani_cp_cl3	Anopheles_coustani_cp_cl2	Anopheles_coustani_cp_cl1	Anopheles_hyrcanus_gp_sp1	Anopheles_hyrcanus_gp_sp2	Anopheles_sinensis	Anopheles_barbirostris	Anopheles_atroparvus	Anopheles_implexus	Anopheles_nili_gp_sp3	Anopheles_nili_gp_sp2	Anopheles_nili_gp_sp1	Anopheles_carnevalei	Anopheles_vinckei	Anopheles_dureni	Anopheles_aquasalis	Anopheles_oryzalimnetes	Anopheles_darlingi	Anopheles_albimanus	Anopheles_cruzii	Anopheles_bellator
Adem-32	0.8911755417834445	0.03154580981328702	0.014842300556586271	0.005102040816326531	0.024402952670429873	0.012987012987012991	0.0	0.00974025974025974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005102040816326531	0.005102040816326531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abro-33	0.8811501831261249	0.030035452392133382	0.010550569973320396	0.0071549842347804985	0.021376708758856642	0.012964963728970515	0.0	0.009723722796727891	0.0067911714770797936	0.0033955857385398968	0.0	0.0	0.0033955857385398968	0.0	0.0033955857385398968	0.0	0.006306087800145525	0.0037593984962406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ahan-615	0.8635425706196609	0.03832937888699922	0.02206829486196497	0.008903573602295451	0.023412950215244917	0.013069219277375088	0.004312668463611859	0.006971725778786035	0.004869141813755325	0.0024345709068776624	0.0	0.0	0.0024345709068776624	0.0	0.0024345709068776624	0.0	0.0045213459699156595	0.002695417789757412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ahan-6-1	0.8640499161700144	0.034431475949338285	0.024067275898877867	0.011909468333743895	0.02624709608644557	0.011740146130523384	0.0038740920096852296	0.0062627367165366075	0.004373974849644614	0.002186987424822307	0.0	0.0	0.002186987424822307	0.0	0.002186987424822307	0.0	0.004061548074669999	0.0024213075060532684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abro-22	0.8597777061500577	0.032765436790499335	0.033753170173565585	0.011333203736949836	0.02497707530806917	0.011172074543562576	0.003686635944700461	0.0059597010689622565	0.004162330905306971	0.0020811654526534857	0.0	0.0	0.0020811654526534857	0.0	0.0020811654526534857	0.0	0.0038650215549279024	0.002304147465437788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adem-34	0.8686234369589179	0.03502512208639585	0.01842835230837404	0.011744684939707834	0.02620614015258348	0.011942562443118615	0.00394088669950739	0.006370714935787239	0.004449388209121247	0.0022246941045606233	0.0	0.0	0.0022246941045606233	0.0	0.0022246941045606233	0.0	0.004131574765612585	0.0024630541871921183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abro-30	0.8742194076954382	0.034431475949338285	0.01389778437345414	0.011909468333743895	0.02624709608644557	0.011740146130523387	0.0038740920096852313	0.0062627367165366075	0.004373974849644615	0.002186987424822308	0.0	0.0	0.002186987424822308	0.0	0.002186987424822308	0.0	0.004061548074669999	0.0024213075060532693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abro-21	0.8678877353649391	0.04206107975104936	0.006802721088435374	0.006802721088435374	0.03253727022723983	0.017316017316017316	0.0	0.012987012987012986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006802721088435374	0.006802721088435374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adem-19	0.8650325063228289	0.03472947601979861	0.010814132104454685	0.010486431131592424	0.027417648062809358	0.015392636037797329	0.005079365079365079	0.008211143695014664	0.0057347670250896075	0.0028673835125448037	0.0	0.0	0.0028673835125448037	0.0	0.0028673835125448037	0.0	0.0053251408090117785	0.003174603174603175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amar-3-1	0.4741161742474768	0.0	0.37786086656884976	0.024520502645502644	0.05372732426303855	0.007109788359788359	0.005291005291005291	0.009424603174603174	0.005291005291005291	0.011574074074074072	0.017857142857142856	0.0	0.002645502645502645	0.0	0.002645502645502645	0.0	0.004960317460317461	0.002976190476190476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
