sample_id	type	source	species	country	mean1	mean2	mean3	sd1	sd2	sd3	status	contributor	location	year	month	latitude	longitude	sex_call	sample_set	aim_species	taxon
AN0453-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Cameroon	-98.92367	-29.281832	-5.297733	-47.770065	-41.036526	-25.114744	validation	Nora Besansky	Massila	2005.0	-1.0	10.187999999999999	14.142999999999999	F	AG1000G-CM-B	gambiae	gambiae
AA0137-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Ghana	-86.9599	-13.467476000000001	-13.10586	-45.716545	-34.362190000000005	-23.252192	training	David Weetman	Koforidua	2012.0	11.0	6.093999999999999	-0.261	F	AG1000G-GH	gambiae	gambiae
AZ0425-CW	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-77.11659	3.5524955	-21.3828	-46.675779999999996	-30.245552000000004	-22.467646	training	Austin Burt	Tieneguebougou	2014.0	8.0	12.81	-8.08	F	AG1000G-ML-A	coluzzii	coluzzii
AZ0269-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-95.7714	5.2394050000000005	-27.965203999999996	-57.383990000000004	-36.577442	-27.747078000000002	training	Nora Besansky	Fanzana	2004.0	8.0	13.2	-6.13	F	AG1000G-ML-B	coluzzii	coluzzii
BL0145-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Tanzania	-82.95827	-74.46636	31.757212	-38.974236	-50.87733	-26.451138	training	Bilali Kabula	Muleba	2015.0	6.0	-1.962	31.651	F	AG1000G-TZ	arabiensis	arabiensis
AG0415-CW	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Gambia, The	-62.11062	13.977741	-24.535936	-43.092773	-24.950523	-20.134957999999997	validation	Beniamino Caputo	Tankular	2012.0	8.0	13.417	-16.033	UKN	AG1000G-GM-B	coluzzii	gcx2
BL0091-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Tanzania	-85.16899000000001	-78.78964	33.348595	-40.722396999999994	-54.11928	-26.686277	training	Bilali Kabula	Muleba	2015.0	3.0	-1.962	31.651	F	AG1000G-TZ	arabiensis	arabiensis
AA0063-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Ghana	-66.45218	17.92973	-28.777191	-47.775196	-26.687962	-22.01022	training	David Weetman	Twifo Praso	2012.0	9.0	5.609	-1.5490000000000002	F	AG1000G-GH	coluzzii	coluzzii
AR0020-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Angola	-64.91209	32.70712	-38.427417999999996	-53.44336	-27.257078000000003	-24.232393	training	Joao Pinto	Luanda	2009.0	4.0	-8.884	13.302	F	AG1000G-AO	coluzzii	coluzzii
AB0301-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Burkina Faso	-94.79600500000001	-17.1395	-12.787478	-49.132153	-37.94851	-24.836845	training	Nora Besansky	Monomtenga	2004.0	7.0	12.06	-1.17	F	AG1000G-BF-C	gambiae	gambiae
AV0232-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Guinea	-74.1326	14.065717000000001	-28.022907	-50.23408	-29.257553	-23.322994	training	Ken Vernick	Koundara	2012.0	10.0	8.48	-9.53	F	AG1000G-GN-B	coluzzii	coluzzii
AK0281-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Kenya	-93.56506999999999	-46.285786	9.07128	-42.300804	-42.995678000000005	-22.155185999999997	training	Janet Midega	Kilifi	2000.0	-1.0	-3.511	39.909	M	AG1000G-KE	gambiae	gambiae
AZ0253-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Mali	-98.26822	-18.77233	-12.714896000000001	-50.425979999999996	-39.168533000000004	-25.636855999999998	training	Nora Besansky	Bancoumana	2004.0	8.0	12.2	-8.2	F	AG1000G-ML-B	gambiae	gambiae
AJ0097-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Guinea-Bissau	-77.71243	-4.6557116999999995	-16.040747	-44.42066	-31.48991	-21.611301	training	Joao Pinto	Antula	2010.0	-1.0	11.890999999999998	-15.582	F	AG1000G-GW	gambiae	gcx1
AZ0433-CW	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-71.43643	9.129086000000001	-23.551147	-46.113953	-28.07944	-21.545270000000002	training	Austin Burt	Tieneguebougou	2014.0	8.0	12.81	-8.08	F	AG1000G-ML-A	coluzzii	coluzzii
BL0302-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Tanzania	-81.21709399999999	-75.07500999999999	32.239883	-39.216076	-51.911182000000004	-25.476685999999997	training	David Weetman	Tarime	2012.0	8.0	-1.431	34.199	F	AG1000G-TZ	arabiensis	arabiensis
AV0042-Cx	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Guinea	-62.777533999999996	25.422473999999998	-32.967194	-49.310055	-25.440325	-22.297064000000002	training	Ken Vernick	Koundara	2012.0	10.0	8.48	-9.53	F	AG1000G-GN-A	coluzzii	coluzzii
AV0285-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-82.0743	6.793717	-24.901772	-50.068443	-31.450142	-24.449999	training	Ken Vernick	Takan	2012.0	10.0	11.47	-8.33	F	AG1000G-GN-B	coluzzii	coluzzii
AA0085-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Ghana	-82.69502	-16.70705	-9.433344	-42.883274	-34.077656	-21.610552	training	David Weetman	Madina	2012.0	11.0	5.667999999999999	-0.21899999999999997	F	AG1000G-GH	gambiae	gambiae
AB0210-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Burkina Faso	-89.90948	8.625752	-28.711212	-55.88260699999999	-34.552174	-26.616705	training	Austin Burt	Bana	2012.0	7.0	11.232999999999999	-4.4719999999999995	F	AG1000G-BF-A	coluzzii	coluzzii
AN0073-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Cameroon	-73.61191	-24.857470000000003	-0.6269359	-36.427	-32.83637	-18.343779	training	Nora Besansky	Zembe Borongo	2009.0	9.0	5.747000000000001	14.442	F	AG1000G-CM-A	gambiae	gambiae
AZ0321-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Mali	-81.86820999999999	-28.597527000000003	-0.5172228	-39.343563	-35.83035	-20.323135	training	Austin Burt	Kababougou	2014.0	8.0	12.89	-8.15	F	AG1000G-ML-A	gambiae	gambiae
AG0460-CW	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Gambia, The	-64.63394	0.11119624	-15.61555	-38.485313	-25.899538	-19.010448	training	Beniamino Caputo	Sare Samba Sowe	2012.0	8.0	13.583	-15.9	UKN	AG1000G-GM-B	gambiae	gcx1
AV0038-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Guinea	-61.27195699999999	19.822657	-28.67297	-46.200912	-25.096882	-20.90886	training	Ken Vernick	Koundara	2012.0	10.0	8.48	-9.53	F	AG1000G-GN-A	coluzzii	gcx2
AG0009-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Gambia, The	-86.75365	9.655101	-28.36008	-54.99202	-33.701275	-25.8872	validation	Charles Godfray	Wali Kunda	2012.0	10.0	13.567	-14.917	F	AG1000G-GM-C	coluzzii	gcx2
BP0001-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Democratic Republic of the Congo	-86.70405600000001	-32.966716999999996	1.2253221	-40.841095	-37.806736	-21.510317	training	David Weetman	Gbadolite	2015.0	7.0	4.283	21.017	M	AG1000G-CD	gambiae	gambiae
BL0103-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Tanzania	-107.48813	-39.15547	-0.09046429	-49.789932	-45.858334	-26.367445	training	Bilali Kabula	Muleba	2015.0	3.0	-1.962	31.651	F	AG1000G-TZ	gambiae	gambiae
AC0282-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Uganda	-102.03047	-30.075603000000005	-5.3744497	-49.668358000000005	-42.81238	-25.442759	training	Martin Donnelly	Kihihi	2012.0	11.0	-0.7509999999999999	29.701	F	AG1000G-UG	gambiae	gambiae
BL0370-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Tanzania	-84.87536999999999	-4.0789433	-18.389744	-48.623978	-33.70969	-23.51365	training	David Weetman	Muheza	2013.0	1.0	-4.94	38.948	F	AG1000G-TZ	gambiae	gcx3
