sample_id	type	source	species	country	mean1	mean2	mean3	sd1	sd2	sd3	contributor	location	year	month	latitude	longitude	sex_call	sample_set	aim_species	taxon	assigned_species
AR0079-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Angola	-63.37961600000001	26.260397	-33.521572	-49.887142	-25.693089	-22.420696	Joao Pinto	Luanda	2009.0	4.0	-8.884	13.302	F	AG1000G-AO	coluzzii	coluzzii	Anopheles_coluzzii
AC0050-Cx	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Uganda	-80.21066	-75.38818	32.406075	-38.98249000000001	-52.056667	-25.36685	Martin Donnelly	Nagongera	2012.0	10.0	0.77	34.026	F	AG1000G-UG	arabiensis	arabiensis	Anopheles_arabiensis
AN0043-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Cameroon	-96.86261	-25.552738	-7.408364999999999	-47.71541	-39.758633	-24.682156	Nora Besansky	Gado Badzere	2009.0	9.0	5.747000000000001	14.442	F	AG1000G-CM-A	gambiae	gambiae	Anopheles_gambiae
AC0089-Cx	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Uganda	-75.95179	-17.974503	-6.3656154	-39.25388	-32.354378000000004	-19.478794	Martin Donnelly	Nagongera	2012.0	10.0	0.77	34.026	F	AG1000G-UG	gambiae	gambiae	Anopheles_gambiae
AC0095-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Uganda	-97.27645	-39.481636	2.9853432	-44.79626	-42.547962	-23.502188	Martin Donnelly	Nagongera	2012.0	10.0	0.77	34.026	F	AG1000G-UG	gambiae	gambiae	Anopheles_gambiae
BL0243-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Tanzania	-78.26868	-68.589874	28.515085	-37.035984	-47.72568	-23.408064000000003	Bilali Kabula	Muleba	2015.0	6.0	-1.962	31.651	F	AG1000G-TZ	arabiensis	arabiensis	Anopheles_arabiensis
AV0191-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Guinea	-79.591736	-26.002079	-1.5932594999999998	-38.973576	-34.727924	-19.898773	Ken Vernick	Koundara	2012.0	10.0	8.48	-9.53	F	AG1000G-GN-B	gambiae	gambiae	Anopheles_gambiae
AZ0165-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Malawi	-87.43512	-75.79997	30.940947	-40.773872	-52.19978	-26.18453	Martin Donnelly	Chikhwawa	2015.0	5.0	-15.933	34.755	F	AG1000G-MW	arabiensis	arabiensis	Anopheles_arabiensis
AN0440-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Cameroon	-98.97385	-8.719586999999999	-19.767633	-53.68644000000001	-38.04755	-27.173265	Nora Besansky	Ahala	2005.0	-1.0	3.805	11.507	F	AG1000G-CM-B	gambiae	gambiae	Uncertain_gambiae_coluzzii
VBS02112-4431STDY6772826	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Mali	-94.73408	-18.055239	-12.16707	-48.85708	-38.04182	-24.70751	Nora Besansky	Kela	2004.0	8.0	11.88	-8.45	F	AG1000G-ML-B	gambiae	gambiae	Anopheles_gambiae
