	mean1	mean2	mean3	sd1	sd2	sd3	country	species	n_mosquito_targets	sample_set	contributor	location	year	month	latitude	longitude	sex_call	aim_species	taxon
BL0115-C	-86.31662	-18.192635	-9.433698	-44.706715	-35.761387	-22.14923	Tanzania	Anopheles_gambiae	61	AG1000G-TZ	Bilali Kabula	Muleba	2015	6.0	-1.962	31.651	F	gambiae	gambiae
BL0379-C	-93.780304	-46.34176	8.987964999999999	-42.14267	-43.015278	-22.173662	Tanzania	Anopheles_gambiae	61	AG1000G-TZ	David Weetman	Muheza	2013	1.0	-4.94	38.948	F	gambiae	gambiae
BL0142-C	-93.04221	-24.19032	-7.1628723	-46.202217	-38.52561	-23.638298000000002	Tanzania	Anopheles_gambiae	62	AG1000G-TZ	Bilali Kabula	Muleba	2015	6.0	-1.962	31.651	F	gambiae	gambiae
AK0215-C	-111.09478999999999	-54.899857	10.321958	-48.642292	-49.844353000000005	-26.295135	Kenya	Anopheles_gambiae	62	AG1000G-KE	Janet Midega	Kilifi	2000	-1.0	-3.511	39.909	M	gambiae	gambiae
BP0019-C	-84.5372	-28.287815000000002	-1.5104939	-41.05518	-36.720425	-21.0434	Democratic Republic of Congo	Anopheles_gambiae	62	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	F	gambiae	gambiae
AV0067-C	-80.39354	-21.06286	-5.5539856	-40.8522	-34.315907	-20.448614000000003	Guinea	Anopheles_gambiae	62	AG1000G-GN-B	Ken Vernick	Koraboh	2012	10.0	9.28	-10.03	F	gambiae	gambiae
AA0075-C	-66.971634	21.831089000000002	-32.02349	-49.847755	-26.64198	-22.593573000000003	Ghana	Anopheles_coluzzii	57	AG1000G-GH	David Weetman	Twifo Praso	2012	9.0	5.609	-1.5490000000000002	F	coluzzii	coluzzii
AV0046-Cx	-64.502975	14.862010999999999	-25.39273	-45.606617	-26.356312	-20.903414	Guinea	Anopheles_coluzzii	61	AG1000G-GN-A	Ken Vernick	Koundara	2012	10.0	8.48	-9.53	F	coluzzii	coluzzii
AS0004-C	-71.63644000000001	-29.868015000000003	3.442132	-34.43293	-33.094894000000004	-17.317324	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
AZ0294-C	-102.478546	-1.6795894	-25.507938	-58.046980000000005	-38.65478	-28.91102	Mali	Anopheles_coluzzii	62	AG1000G-ML-A	Austin Burt	Kababougou	2014	8.0	12.89	-8.15	F	coluzzii	coluzzii
