derived_sample_id	sample_set	assigned	res_coarse	res_int	res_fine	n_mosquito_targets	mean_mosquito_haps	n_multiallelic	VAE_species	species_call	call_method	country
VBS10123-4954STDY7089651	1178-VO-UG-LAWNICZAK-VMF00025	True	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus	47	1.1914893617021276	0		Anopheles_funestus	NN_FINE	Uganda
VBS10132-4954STDY7089660	1178-VO-UG-LAWNICZAK-VMF00025	True	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus	47	1.4042553191489362	1		Anopheles_funestus	NN_FINE	Uganda
VBS10154-4954STDY7089682	1178-VO-UG-LAWNICZAK-VMF00025	True	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus	44	1.4090909090909092	0		Anopheles_funestus	NN_FINE	Uganda
VBS10156-4954STDY7089684	1178-VO-UG-LAWNICZAK-VMF00025	True	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus	44	1.2045454545454546	0		Anopheles_funestus	NN_FINE	Uganda
VBS10195-4954STDY7089723	1178-VO-UG-LAWNICZAK-VMF00025	True	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus	47	1.4893617021276595	1		Anopheles_funestus	NN_FINE	Uganda
VBS10199-4954STDY7089727	1178-VO-UG-LAWNICZAK-VMF00025	True	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus	49	1.2857142857142858	0		Anopheles_funestus	NN_FINE	Uganda
VBS10202-4954STDY7089730	1178-VO-UG-LAWNICZAK-VMF00025	True	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus	52	1.4230769230769231	1		Anopheles_funestus	NN_FINE	Uganda
VBS03269-4690STDY7609204	1190-VO-GH-AMENGA-ETEGO-VMF00013	True	Myzomyia_Neocellia_series			47	1.3617021276595744	0		Myzomyia_Neocellia_series	NN_COARSE	Ghana
VBS03421-4690STDY7608896	1190-VO-GH-AMENGA-ETEGO-VMF00013	True	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus	49	1.2448979591836735	0		Anopheles_funestus	NN_FINE	Ghana
VBS03443-4690STDY7608882	1190-VO-GH-AMENGA-ETEGO-VMF00013	True	Myzomyia_Neocellia_series			51	1.3333333333333333	0		Myzomyia_Neocellia_series	NN_COARSE	Ghana
