SPECIMEN_ID	SERIES	RACK_OR_PLATE_ID	TUBE_OR_WELL_ID	PRESERVATIVE_SOLUTION	ORGANISM_PART	DATE_OF_COLLECTION	COLLECTION_LOCATION	DECIMAL_LATITUDE	DECIMAL_LONGITUDE	HAZARD_GROUP	REGULATORY_COMPLIANCE	SCIENTIFIC_NAME	LIFESTAGE	SEX	HABITAT	TIME_OF_COLLECTION	DURATION_OF_COLLECTION	COLLECTION_METHOD	OUTDOORS_INDOORS	DESCRIPTION_OF_COLLECTION_METHOD	PRESERVATION_APPROACH	DATE_OF_PRESERVATION	ELEVATION	WHAT_3_WORDS	IDENTIFIED_HOW	OTHER_ORGANISMS	BLOOD_MEAL	GRAVIDITY	COLLECTOR_SAMPLE_ID	OTHER_INFORMATION	MISC_METADATA	DNA_EXTRACTION_DESCRIPTION	DNA_EXTRACT_VOLUME_PROVIDED	DNA_EXTRACT_CONCENTRATION	SUPPLIER_SAMPLE_NAME	run	n_mosquito_targets	n_mosquito_reads	n_multiallelic	contamination_risk	NN_assignment	res_coarse	res_int	res_fine	VAE_species	species_call	call_method	plasmodium_detected	plasmodium_species	total_reads_P1	total_reads_P2
KAJO_001_A1	1	KAJO-001	A1	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.4.13.011						ANOSPP13031008	45525	60.0	19934.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_B1	2	KAJO-001	B1	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-02	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-02			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.4.13.010						ANOSPP13031009	45525	60.0	23358.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_C1	3	KAJO-001	C1	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-03	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-03			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.4.13.009						ANOSPP13031010	45525	60.0	16880.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_D1	4	KAJO-001	D1	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-04	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-04			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.4.13.008						ANOSPP13031011	45525	60.0	24464.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_E1	5	KAJO-001	E1	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-05	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-05			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.4.13.007						ANOSPP13031012	45525	60.0	23244.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_F1	6	KAJO-001	F1	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-06	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-06			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.4.13.005						ANOSPP13031013	45525	61.0	19644.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_G1	7	KAJO-001	G1	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-07	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	MALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-07			Molecular_Species_Identification		NOT_APPLICABLE	NOT_COLLECTED	U.KMI.ASP.4.13.004						ANOSPP13031014	45525	55.0	5707.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_H1	8	KAJO-001	H1	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-08	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-08			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.4.13.003						ANOSPP13031015	45525	60.0	20101.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_A2	9	KAJO-001	A2	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-09	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-09			Molecular_Species_Identification		N	NOT_COLLECTED	U.KMI.ASP.4.13.002						ANOSPP13031016	45525	59.0	17364.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_B2	10	KAJO-001	B2	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-09	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-09			Molecular_Species_Identification		N	NOT_COLLECTED	U.KMI.ASP.4.13.001						ANOSPP13031017	45525	60.0	12445.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_C2	11	KAJO-001	C2	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.002						ANOSPP13031018	45525	60.0	20013.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_D2	12	KAJO-001	D2	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.001						ANOSPP13031019	45525	58.0	22483.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	high_load	Plasmodium_falciparum, Plasmodium_reichenowi	95.0	702.0
KAJO_001_E2	13	KAJO-001	E2	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.XI.4.13.004						ANOSPP13031020	45525	61.0	21344.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
