SPECIMEN_ID	SERIES	ASP-PROJ CODE-COUNTRY CODE-MMYY-PLATENO	RACK_OR_PLATE_ID	TUBE_OR_WELL_ID	ORGANISM_PART	CATCH_ID	ORDER_OR_GROUP	FAMILY	GENUS	SCIENTIFIC_NAME	LIFESTAGE	SEX	OTHER_ORGANISMS	BLOOD_MEAL	GRAVIDITY	COLLECTOR_SAMPLE_ID	DATE_OF_COLLECTION	COLLECTION_LOCATION	DECIMAL_LATITUDE	DECIMAL_LONGITUDE	WHAT_THREE_WORDS	HABITAT	ELEVATION	TIME_OF_COLLECTION	TIME_OF_COLLECTION.1	COLLECTION_METHOD	OUTDOORS_INDOORS	DESCRIPTION_OF_COLLECTION_METHOD	IDENTIFIED_HOW	PRESERVATION_APPROACH	PRESERVATIVE_SOLUTION	TIME_ELAPSED_FROM_COLLECTION_TO_PRESERVATION	DATE_OF_PRESERVATION	DNA_EXTRACTION_DESCRIPTION	DNA_EXTRACT_VOLUME_PROVIDED	DNA_EXTRACT_CONCENTRATION	HAZARD_GROUP	REGULATORY_COMPLIANCE	VOUCHER_ID	OTHER_INFORMATION	TEMP.(°C)	HUMIDITY_(%)	WIND_DIRECTION	WIND SPEED_(km/h)	GUST SPEED_(km/h) 	RAINFALL_(mm)	SOLAR_RADIATION_(W/m²)	COLLECTED_BY	COLLECTOR_AFFILIATION	IDENTIFIED_BY	IDENTIFIER_AFFILIATION	PRESERVED_BY	PRESERVER_AFFILIATION	SUPPLIER_SAMPLE_NAME	run	n_mosquito_targets	n_mosquito_reads	n_multiallelic	contamination_risk	NN_assignment	res_coarse	res_int	res_fine	VAE_species	species_call	call_method	plasmodium_detected	plasmodium_species	total_reads_P1	total_reads_P2
KIMA_001_A1	1	ASP-BUMI-BF-2103-01	PLATE1	A1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE		N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306		RURAL AREA		04:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	Four homes separated by at least 100 m are randomly selected in the village. In each selected home, two peoples sit down, one indoor or outside the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator. Each mosquito after collection is placed in hemolyze tube plugged with a piece of cotton. The hemolyze tube is then placed in a bag containing information about the time interval of collection, the ID of the collection point. Early in the morning all the bag are sent to the field laboratory for mosquito identification and preservation. 	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21				HG1	Y	NOT_APPLICABLE		24.22	86.9	199.4	0	0	0	0.6	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	DN806231V_A1	41336	54.0	4151.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Uncertain_coluzzii_gambiae	Uncertain_coluzzii_gambiae	VAE	no			
KIMA_001_B1	2	ASP-BUMI-BF-2103-01	PLATE1	B1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE		N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306		RURAL AREA		04:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21				HG1	Y	NOT_APPLICABLE		24.22	86.9	199.4	0	0	0	0.6	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	DN806231V_B1	41336	57.0	3945.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KIMA_001_C1	3	ASP-BUMI-BF-2103-01	PLATE1	C1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE		N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306		RURAL AREA		04:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21				HG1	Y	NOT_APPLICABLE		24.22	86.9	199.4	0	0	0	0.6	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	DN806231V_C1	41336	58.0	12685.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KIMA_001_D1	4	ASP-BUMI-BF-2103-01	PLATE1	D1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE		N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306		RURAL AREA		04:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21				HG1	Y	NOT_APPLICABLE		24.22	86.9	199.4	0	0	0	0.6	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	ANOSPP10253416	45794	46.0	13144.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex			Anopheles_gambiae_complex	NN_INTERMEDIATE	no			
KIMA_001_E1	5	ASP-BUMI-BF-2103-01	PLATE1	E1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE		N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306		RURAL AREA		04:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21				HG1	Y	NOT_APPLICABLE		24.22	86.9	199.4	0	0	0	0.6	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	ANOSPP10253417	45794	51.0	12330.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KIMA_001_F1	6	ASP-BUMI-BF-2103-01	PLATE1	F1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE		N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306		RURAL AREA		04:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21				HG1	Y	NOT_APPLICABLE		24.22	86.9	199.4	0	0	0	0.6	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	ANOSPP10253418	45794	53.0	21803.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Uncertain_gambiae_coluzzii	Uncertain_gambiae_coluzzii	VAE	no			
KIMA_001_G1	7	ASP-BUMI-BF-2103-01	PLATE1	G1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE		N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306		RURAL AREA		04:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21				HG1	Y	NOT_APPLICABLE		24.22	86.9	199.4	0	0	0	0.6	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	DN806231V_G1	41336	55.0	3556.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_coluzzii	Anopheles_coluzzii	VAE	low_load	Plasmodium_falciparum	26.0	
KIMA_001_H1	8	ASP-BUMI-BF-2103-01	PLATE1	H1	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE		N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306		RURAL AREA		04:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21				HG1	Y	NOT_APPLICABLE		24.22	86.9	199.4	0	0	0	0.6	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	DN806231V_H1	41336	58.0	4481.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_coluzzii	Anopheles_coluzzii	VAE	no			
KIMA_001_A2	9	ASP-BUMI-BF-2103-01	PLATE1	A2	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE		N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306		RURAL AREA		04:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21				HG1	Y	NOT_APPLICABLE		24.22	86.9	199.4	0	0	0	0.6	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	DN806231V_A2	41336	58.0	6400.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_coluzzii	Anopheles_coluzzii	VAE	no			
KIMA_001_B2	10	ASP-BUMI-BF-2103-01	PLATE1	B2	WHOLE_ORGANISM	Tube1	Diptera	Culicidae	Anopheles	Anopheles gambiae group_guess 	ADULT	FEMALE		N	N	BF.BV.17-3308	2017-08-21	BURKINA FASO | HAUTS-BASSINS | HOEUT | ARRONDISSEMENT N°7 DE BOBO-DIOULASSO | BANA VILLAGE 	11.2339822	-4.4725306		RURAL AREA		04:00:00	PT1H	HUMAN_LANDING_CATCH	INDOORS	A person sits indoor or outdoor the house with his lower leg exposed and collects all the mosquitoes that come for a blood meal using a mosquito aspirator	Taxon expert, morphology	Kill method: Knocked out in the freezer at - 20 °C for 15 minutes. Preservation1: Grouped in a pool of at most 10 in a 2 ml eppendorf tube with 80% ethanol (~ 1.6ml) and stored at room temperature for 4 years. Preservation2: moved individually to PCR plate well with 200µl of 80% ethanol and stored at room temperature before shipping. 	80%_ETHANOL	NOT_COLLECTED	2017-08-21				HG1	Y	NOT_APPLICABLE		24.22	86.9	199.4	0	0	0	0.6	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	FRANCK ADAMA YAO 	INSTITUT DE RECHERCHE EN SCIENCES DE LA SANTE	ANOSPP10253422	45794	51.0	11812.0	1.0	medium	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_coluzzii	Anopheles_coluzzii	VAE	no			
