SPECIMEN_ID	RACK_OR_PLATE_ID	TUBE_OR_WELL_ID	PRESERVATIVE_SOLUTION	ORGANISM_PART	DATE_OF_COLLECTION	COLLECTION_COUNTRY	COLLECTION_LOCATION	DECIMAL_LATITUDE	DECIMAL_LONGITUDE	SAMPLING_LOCATION_SIZE	PREDICTED_SCIENTIFIC_NAME	SPECIMEN_IDENTITY_RISK	IDENTIFIED_HOW	LIFESTAGE	SEX	TIME_OF_COLLECTION	DURATION_OF_COLLECTION	COLLECTION_METHOD	OUTDOORS_INDOORS	DESCRIPTION_OF_COLLECTION_METHOD	PRESERVATION_APPROACH	BLOOD_MEAL	GRAVIDITY	HABITAT	DATE_OF_PRESERVATION	ELEVATION	WHAT_3_WORDS	OTHER_ORGANISMS	BIOASSAYS	COLLECTOR_SAMPLE_ID	OTHER_INFORMATION	COLLECTION_EXPERIMENT	COLLECTION_EXPERIMENT_DAY	SUPPLIER_SAMPLE_NAME	run	n_mosquito_targets	n_mosquito_reads	n_multiallelic	contamination_risk	NN_assignment	res_coarse	res_int	res_fine	VAE_species	species_call	call_method	plasmodium_detected	plasmodium_species	total_reads_P1	total_reads_P2
OMOL_001_A1	GDNA00000494A	A1	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1036	PLATE 01, A-1, partial specimen	PRE-MDA	1.0	NG-1-1	34891	0.0	0.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_B1	GDNA00000494A	B1	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1048	PLATE 01, B-1, partial specimen	PRE-MDA	1.0	NG-1-2	34891	1.0	10.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_C1	GDNA00000494A	C1	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1060	PLATE 01, C-1, partial specimen	PRE-MDA	1.0	NG-1-3	34891	8.0	148.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_D1	GDNA00000494A	D1	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			CDC_LIGHT_TRAP	OUTDOORS		Silica gel	N								KUG1072	PLATE 01, D-1, partial specimen	PRE-MDA	1.0	NG-1-4	34891	19.0	351.0	0.0	medium	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_E1	GDNA00000494A	E1	NONE	WHOLE_ORGANISM	2018-09-19	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1009	PLATE 01, E-1, partial specimen	POST-MDA 1	3.0	NG-1-5	34891	0.0	0.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_F1	GDNA00000494A	F1	NONE	WHOLE_ORGANISM	2018-09-20	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1021	PLATE 01, F-1, partial specimen	POST-MDA 1	4.0	NG-1-6	34891	60.0	4487.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_001_G1	GDNA00000494A	G1	NONE	WHOLE_ORGANISM	2018-09-29	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1033	PLATE 01, G-1, partial specimen	POST-MDA 2	5.0	NG-1-7	34891	2.0	28.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_H1	GDNA00000494A	H1	NONE	WHOLE_ORGANISM	2018-09-30	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1087	PLATE 01, H-1, partial specimen	POST-MDA 2	6.0	NG-1-8	34891	0.0	0.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_A2	GDNA00000494A	A2	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1037	PLATE 01, A-2, partial specimen	PRE-MDA	1.0	NG-1-9	34891	0.0	0.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_B2	GDNA00000494A	B2	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1049	PLATE 01, B-2, partial specimen	PRE-MDA	1.0	NG-1-10	34891	59.0	3065.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_coluzzii	Anopheles_coluzzii	VAE	low_load	Plasmodium_falciparum		654.0
