sample_id,location,adm_level,country,country_code,longitude,latitude,collection_context,date_of_collection,collection_method,dna_extraction_method,species,dna_concentration,sex_call,cohort,cohort_colour,coarse_cohort,coarse_cohort_colour,mitochondrial_id,3La,3Ra,3Rb,2Ra,2Rh
VBS24195,Dimabi,"Northern Region, Tolon",Ghana,GHA,-1.083,9.42,Indoor,2017-08-13,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,1.7,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24196,Gbullung,"Northern Region, Tolon",Ghana,GHA,-1.009,9.488,Outdoor,2017-07-16,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,2.4,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24197,Dimabi,"Northern Region, Tolon",Ghana,GHA,-1.083,9.42,Outdoor,2017-07-16,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,18.2,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24198,Dimabi,"Northern Region, Tolon",Ghana,GHA,-1.083,9.42,Indoor,2017-08-13,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,0.8,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24199,Gupanarigu,"Northern Region, Tolon",Ghana,GHA,-0.952,9.497,Indoor,2017-08-13,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,1.6,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24200,Gupanarigu,"Northern Region, Tolon",Ghana,GHA,-0.952,9.497,Outdoor,2017-07-16,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,8.3,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24201,Gupanarigu,"Northern Region, Tolon",Ghana,GHA,-0.952,9.497,Outdoor,2017-07-16,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,6.1,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24202,Gupanarigu,"Northern Region, Tolon",Ghana,GHA,-0.952,9.497,Outdoor,2017-07-16,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,3.2,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24203,Gupanarigu,"Northern Region, Tolon",Ghana,GHA,-0.952,9.497,Outdoor,2017-07-16,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,23.2,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
VBS24204,Gupanarigu,"Northern Region, Tolon",Ghana,GHA,-0.952,9.497,Outdoor,2017-07-16,Human landing catch,Buffer C + MinElute UF,Anopheles funestus,17.5,F,Ghana_Northern-Region,#2ca02c,N_Ghana,#2ca02c,funestus-lineageI-clusterB,,,,,
